Title,Date Filed
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Choi_v_Univ_of_Tex_Health_Sci_Ctr_at_San_Antonio.txt,2015-12-11
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Schalamar_Creek_Mobile_Homeowner's_Ass'n_v_Adler.txt,2021-05-07
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Falchenberg_v_NY_State_Dep't_of_Educ.txt,2009-06-08
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Ellis_v_Ethicon_Inc.txt,2013-07-09
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/JH_v_Bernalillo_Cnty.txt,2015-11-27
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Clark_v_La_Dep't_of_Pub_Safety.txt,2023-03-28
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Norkunas_v_Seahorse_NB_LLC.txt,2011-10-25
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Douglas_v_Muzzin.txt,2022-08-03
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Bahl_v_County_of_Ramsey.txt,2012-10-09
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Solomon_v_Sch_Dist_.txt,2013-08-12
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Antolini_v_Thurman.txt,2023-01-31
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/EEOC_v_Picture_People_Inc.txt,2012-07-10
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/McCullum_v_Orlando_Reg'l_Healthcare_Sys.txt,2014-10-03
